id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1310,Sierra Leone,7/1/2015,4167,287,8665,13119,158,208,3566,3932
1311,Senegal,7/1/2015,0,0,1,1,0,0,0,0
1312,Spain,7/1/2015,0,0,1,1,0,0,0,0
1313,United Kingdom,7/1/2015,0,0,1,1,,,,0
1314,Guinea,7/1/2015,17,443,3269,3729,,443,2039,2482
1315,Italy,7/1/2015,0,0,1,1,,,,0
1316,Liberia,7/1/2015,5636,1879,3151,10666,,,,4806
1317,United States of America,7/1/2015,0,0,4,4,0,0,1,1
1318,Nigeria,7/1/2015,0,1,19,20,0,1,7,8
1319,Mali,7/1/2015,0,1,7,8,,,,6
1320,Senegal,7/2/2015,0,0,1,1,0,0,0,0
1321,Italy,7/2/2015,0,0,1,1,,,,0
1322,Liberia,7/2/2015,5636,1879,3151,10666,,,,4806
1323,Guinea,7/2/2015,18,450,3277,3745,,450,2040,2490
1324,United States of America,7/2/2015,0,0,4,4,0,0,1,1
1325,Spain,7/2/2015,0,0,1,1,0,0,0,0
1326,Nigeria,7/2/2015,0,1,19,20,0,1,7,8
1327,Mali,7/2/2015,0,1,7,8,,,,6
1328,Sierra Leone,7/2/2015,4174,287,8668,13129,158,208,3567,3933
1329,United Kingdom,7/2/2015,0,0,1,1,,,,0
1330,Liberia,7/3/2015,5636,1879,3151,10666,,,,4806
1331,United Kingdom,7/3/2015,0,0,1,1,,,,0
1332,Nigeria,7/3/2015,0,1,19,20,0,1,7,8
1333,Senegal,7/3/2015,0,0,1,1,0,0,0,0
1334,United States of America,7/3/2015,0,0,4,4,0,0,1,1
1335,Guinea,7/3/2015,21,450,3279,3750,,450,2042,2492
1336,Italy,7/3/2015,0,0,1,1,,,,0
1337,Liberia,7/3/2015,37,0,3,40,4,0,1,5
1338,Spain,7/3/2015,0,0,1,1,0,0,0,0
1339,Mali,7/3/2015,0,1,7,8,,,,6
1340,Sierra Leone,7/3/2015,4177,287,8671,13135,158,208,3569,3935
1341,United Kingdom,7/6/2015,0,0,1,1,,,,0
1342,Spain,7/6/2015,0,0,1,1,0,0,0,0
1343,Guinea,7/6/2015,7,450,3287,3744,,450,2048,2498
1344,United States of America,7/6/2015,0,0,4,4,0,0,1,1
1345,Liberia,7/6/2015,,1,3,4,,,1,1
1346,Nigeria,7/6/2015,0,1,19,20,0,1,7,8
1347,Mali,7/6/2015,0,1,7,8,,,,6
1348,Sierra Leone,7/6/2015,4190,287,8673,13150,158,208,3574,3940
1349,Senegal,7/6/2015,0,0,1,1,0,0,0,0
1350,Liberia,7/6/2015,5636,1879,3151,10666,,,,4806
1351,Italy,7/6/2015,0,0,1,1,,,,0
1352,Italy,7/7/2015,0,0,1,1,,,,0
1353,Spain,7/7/2015,0,0,1,1,0,0,0,0
1354,Liberia,7/7/2015,,1,3,4,,,1,1
