id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
2263,Sierra Leone,11/10/2015,5131,287,8704,14122,158,208,3589,3955
2264,Liberia,11/10/2015,,,6,6,,,2,2
2265,Italy,11/11/2015,0,0,1,1,,,,0
2266,Guinea,11/11/2015,1,453,3351,3805,,453,2083,2536
2267,United Kingdom,11/11/2015,0,0,1,1,,,,0
2268,Liberia,11/11/2015,5636,1879,3151,10666,,,,4806
2269,Sierra Leone,11/11/2015,5131,287,8704,14122,158,208,3589,3955
2270,Mali,11/11/2015,0,1,7,8,,,,6
2271,United States of America,11/11/2015,0,0,4,4,0,0,1,1
2272,Spain,11/11/2015,0,0,1,1,0,0,0,0
2273,Liberia,11/11/2015,,,6,6,,,2,2
2274,Nigeria,11/11/2015,0,1,19,20,0,1,7,8
2275,Senegal,11/11/2015,0,0,1,1,0,0,0,0
2276,United States of America,11/12/2015,0,0,4,4,0,0,1,1
2277,Liberia,11/12/2015,5636,1879,3151,10666,,,,4806
2278,Senegal,11/12/2015,0,0,1,1,0,0,0,0
2279,Sierra Leone,11/12/2015,5131,287,8704,14122,158,208,3589,3955
2280,Spain,11/12/2015,0,0,1,1,0,0,0,0
2281,Mali,11/12/2015,0,1,7,8,,,,6
2282,Liberia,11/12/2015,,,6,6,,,2,2
2283,Nigeria,11/12/2015,0,1,19,20,0,1,7,8
2284,Italy,11/12/2015,0,0,1,1,,,,0
2285,United Kingdom,11/12/2015,0,0,1,1,,,,0
2286,Guinea,11/12/2015,1,453,3351,3805,,453,2083,2536
2287,Mali,11/16/2015,0,1,7,8,,,,6
2288,United States of America,11/16/2015,0,0,4,4,0,0,1,1
2289,Liberia,11/16/2015,,,6,6,,,2,2
2290,Sierra Leone,11/16/2015,5131,287,8704,14122,158,208,3589,3955
2291,Senegal,11/16/2015,0,0,1,1,0,0,0,0
2292,Liberia,11/16/2015,5636,1879,3151,10666,,,,4806
2293,Nigeria,11/16/2015,0,1,19,20,0,1,7,8
2294,Guinea,11/16/2015,1,453,3351,3805,,453,2083,2536
2295,Spain,11/16/2015,0,0,1,1,0,0,0,0
2296,Italy,11/16/2015,0,0,1,1,,,,0
2297,United Kingdom,11/16/2015,0,0,1,1,,,,0
2298,United Kingdom,11/17/2015,0,0,1,1,,,,0
2299,United States of America,11/17/2015,0,0,4,4,0,0,1,1
2300,Italy,11/17/2015,0,0,1,1,,,,0
2301,Liberia,11/17/2015,,,6,6,,,2,2
2302,Guinea,11/17/2015,0,453,3351,3804,,453,2083,2536
2303,Sierra Leone,11/17/2015,5131,287,8704,14122,158,208,3589,3955
2304,Senegal,11/17/2015,0,0,1,1,0,0,0,0
2305,Liberia,11/17/2015,5636,1879,3151,10666,,,,4806
2306,Nigeria,11/17/2015,0,1,19,20,0,1,7,8
2307,Mali,11/17/2015,0,1,7,8,,,,6
2308,Spain,11/17/2015,0,0,1,1,0,0,0,0
2309,Liberia,11/20/2015,5636,1879,3151,10666,,,,4806
2310,Senegal,11/20/2015,0,0,1,1,0,0,0,0
2311,Guinea,11/20/2015,0,453,3351,3804,,453,2083,2536
2312,Liberia,11/20/2015,,,6,6,,,2,2
2313,Sierra Leone,11/20/2015,5131,287,8704,14122,158,208,3589,3955
2314,Spain,11/20/2015,0,0,1,1,0,0,0,0
2315,United States of America,11/20/2015,0,0,4,4,0,0,1,1
2316,Mali,11/20/2015,0,1,7,8,,,,6
2317,United Kingdom,11/20/2015,0,0,1,1,,,,0
2318,Nigeria,11/20/2015,0,1,19,20,0,1,7,8
2319,Italy,11/20/2015,0,0,1,1,,,,0
2320,United States of America,11/24/2015,0,0,4,4,0,0,1,1
2321,Mali,11/24/2015,0,1,7,8,,,,6
2322,Liberia,11/24/2015,,,6,6,,,2,2
2323,Nigeria,11/24/2015,0,1,19,20,0,1,7,8
2324,Senegal,11/24/2015,0,0,1,1,0,0,0,0
2325,Sierra Leone,11/24/2015,5131,287,8704,14122,158,208,3589,3955
2326,United Kingdom,11/24/2015,0,0,1,1,,,,0
2327,Guinea,11/24/2015,0,453,3351,3804,,453,2083,2536
2328,Italy,11/24/2015,0,0,1,1,,,,0
2329,Spain,11/24/2015,0,0,1,1,0,0,0,0
2330,Liberia,11/24/2015,5636,1879,3151,10666,,,,4806
2331,United States of America,11/26/2015,0,0,4,4,0,0,1,1
2332,Italy,11/26/2015,0,0,1,1,,,,0
2333,Guinea,11/26/2015,0,453,3351,3804,,453,2083,2536
2334,United Kingdom,11/26/2015,0,0,1,1,,,,0
2335,Liberia,11/26/2015,,,9,9,,,2,2
2336,Spain,11/26/2015,0,0,1,1,0,0,0,0
2337,Liberia,11/26/2015,5636,1879,3151,10666,,,,4806
2338,Senegal,11/26/2015,0,0,1,1,0,0,0,0
2339,Nigeria,11/26/2015,0,1,19,20,0,1,7,8
2340,Mali,11/26/2015,0,1,7,8,,,,6
2341,Sierra Leone,11/26/2015,5131,287,8704,14122,158,208,3589,3955
2342,Nigeria,12/1/2015,0,1,19,20,0,1,7,8
2343,Italy,12/1/2015,0,0,1,1,,,,0
2344,Guinea,12/1/2015,0,453,3351,3804,,453,2083,2536
2345,Liberia,12/1/2015,,,9,9,,,2,2
2346,Spain,12/1/2015,0,0,1,1,0,0,0,0
2347,United States of America,12/1/2015,0,0,4,4,0,0,1,1
2348,Liberia,12/1/2015,5636,1879,3151,10666,,,,4806
2349,Sierra Leone,12/1/2015,5131,287,8704,14122,158,208,3589,3955
2350,Senegal,12/1/2015,0,0,1,1,0,0,0,0
2351,Mali,12/1/2015,0,1,7,8,,,,6
2352,United Kingdom,12/1/2015,0,0,1,1,,,,0
2353,Guinea,12/2/2015,0,453,3351,3804,,453,2083,2536
2354,United Kingdom,12/2/2015,0,0,1,1,,,,0
2355,United States of America,12/2/2015,0,0,4,4,0,0,1,1
2356,Liberia,12/2/2015,5636,1879,3151,10666,,,,4806
2357,Spain,12/2/2015,0,0,1,1,0,0,0,0
2358,Liberia,12/2/2015,,,9,9,,,3,3
2359,Sierra Leone,12/2/2015,5131,287,8704,14122,158,208,3589,3955
2360,Senegal,12/2/2015,0,0,1,1,0,0,0,0
2361,Mali,12/2/2015,0,1,7,8,,,,6
2362,Nigeria,12/2/2015,0,1,19,20,0,1,7,8
2363,Italy,12/2/2015,0,0,1,1,,,,0
2364,Guinea,12/3/2015,1,453,3351,3805,,453,2083,2536
2365,Liberia,12/3/2015,5636,1879,3151,10666,,,,4806
2366,Italy,12/3/2015,0,0,1,1,,,,0
2367,Liberia,12/3/2015,,,9,9,,,3,3
2368,Mali,12/3/2015,0,1,7,8,,,,6
2369,United States of America,12/3/2015,0,0,4,4,0,0,1,1
2370,United Kingdom,12/3/2015,0,0,1,1,,,,0
2371,Spain,12/3/2015,0,0,1,1,0,0,0,0
2372,Nigeria,12/3/2015,0,1,19,20,0,1,7,8
2373,Sierra Leone,12/3/2015,5131,287,8704,14122,158,208,3589,3955
2374,Senegal,12/3/2015,0,0,1,1,0,0,0,0
2375,Guinea,12/9/2015,0,453,3351,3804,,453,2083,2536
2376,United Kingdom,12/9/2015,0,0,1,1,,,,0
2377,Spain,12/9/2015,0,0,1,1,0,0,0,0
2378,Italy,12/9/2015,0,0,1,1,,,,0
2379,Liberia,12/9/2015,5636,1879,3151,10666,,,,4806
2380,Senegal,12/9/2015,0,0,1,1,0,0,0,0
2381,United States of America,12/9/2015,0,0,4,4,0,0,1,1
2382,Liberia,12/9/2015,,,9,9,,,3,3
2383,Mali,12/9/2015,0,1,7,8,,,,6
2384,Sierra Leone,12/9/2015,5131,287,8704,14122,158,208,3589,3955
2385,Nigeria,12/9/2015,0,1,19,20,0,1,7,8
2386,Italy,12/10/2015,0,0,1,1,,,,0
2387,Spain,12/10/2015,0,0,1,1,0,0,0,0
2388,Nigeria,12/10/2015,0,1,19,20,0,1,7,8
2389,Liberia,12/10/2015,,,9,9,,,3,3
2390,Guinea,12/10/2015,0,453,3351,3804,,453,2083,2536
2391,United Kingdom,12/10/2015,0,0,1,1,,,,0
2392,United States of America,12/10/2015,0,0,4,4,0,0,1,1
2393,Mali,12/10/2015,0,1,7,8,,,,6
2394,Liberia,12/10/2015,5636,1879,3151,10666,,,,4806
2395,Senegal,12/10/2015,0,0,1,1,0,0,0,0
2396,Sierra Leone,12/10/2015,5131,287,8704,14122,158,208,3589,3955
2397,Spain,12/11/2015,0,0,1,1,0,0,0,0
2398,United States of America,12/11/2015,0,0,4,4,0,0,1,1
2399,Nigeria,12/11/2015,0,1,19,20,0,1,7,8
2400,Senegal,12/11/2015,0,0,1,1,0,0,0,0
2401,Guinea,12/11/2015,0,453,3351,3804,,453,2083,2536
2402,Mali,12/11/2015,0,1,7,8,,,,6
2403,United Kingdom,12/11/2015,0,0,1,1,,,,0
2404,Liberia,12/11/2015,,,9,9,,,3,3
2405,Italy,12/11/2015,0,0,1,1,,,,0
2406,Sierra Leone,12/11/2015,5131,287,8704,14122,158,208,3589,3955
2407,Liberia,12/11/2015,5636,1879,3151,10666,,,,4806
2408,Sierra Leone,12/15/2015,5131,287,8704,14122,158,208,3589,3955
2409,United States of America,12/15/2015,0,0,4,4,0,0,1,1
2410,Mali,12/15/2015,0,1,7,8,,,,6
2411,Spain,12/15/2015,0,0,1,1,0,0,0,0
2412,Italy,12/15/2015,0,0,1,1,,,,0
2413,Guinea,12/15/2015,3,453,3351,3807,,453,2083,2536
2414,Senegal,12/15/2015,0,0,1,1,0,0,0,0
2415,Nigeria,12/15/2015,0,1,19,20,0,1,7,8
2416,Liberia,12/15/2015,,,9,9,,,3,3
2417,United Kingdom,12/15/2015,0,0,1,1,,,,0
2418,Liberia,12/15/2015,5636,1879,3151,10666,,,,4806
2419,Spain,12/16/2015,0,0,1,1,0,0,0,0
2420,Mali,12/16/2015,0,1,7,8,,,,6
2421,Guinea,12/16/2015,3,453,3351,3807,,453,2083,2536
2422,United Kingdom,12/16/2015,0,0,1,1,,,,0
2423,Italy,12/16/2015,0,0,1,1,,,,0
2424,United States of America,12/16/2015,0,0,4,4,0,0,1,1
2425,Nigeria,12/16/2015,0,1,19,20,0,1,7,8
2426,Senegal,12/16/2015,0,0,1,1,0,0,0,0
2427,Liberia,12/16/2015,5636,1879,3151,10666,,,,4806
2428,Sierra Leone,12/16/2015,5131,287,8704,14122,158,208,3589,3955
2429,Liberia,12/16/2015,,,9,9,,,3,3
2430,Liberia,12/17/2015,,,9,9,,,3,3
2431,Nigeria,12/17/2015,0,1,19,20,0,1,7,8
2432,Spain,12/17/2015,0,0,1,1,0,0,0,0
2433,Liberia,12/17/2015,5636,1879,3151,10666,,,,4806
2434,Mali,12/17/2015,0,1,7,8,,,,6
2435,United Kingdom,12/17/2015,0,0,1,1,,,,0
2436,Sierra Leone,12/17/2015,5131,287,8704,14122,158,208,3589,3955
2437,Guinea,12/17/2015,1,453,3351,3805,,453,2083,2536
2438,Italy,12/17/2015,0,0,1,1,,,,0
2439,Senegal,12/17/2015,0,0,1,1,0,0,0,0
2440,United States of America,12/17/2015,0,0,4,4,0,0,1,1
2441,Nigeria,12/22/2015,0,1,19,20,0,1,7,8
2442,Guinea,12/22/2015,0,453,3351,3804,,453,2083,2536
2443,Senegal,12/22/2015,0,0,1,1,0,0,0,0
2444,Liberia,12/22/2015,,,9,9,,,3,3
2445,Spain,12/22/2015,0,0,1,1,0,0,0,0
2446,Mali,12/22/2015,0,1,7,8,,,,6
2447,Sierra Leone,12/22/2015,5131,287,8704,14122,158,208,3589,3955
2448,United Kingdom,12/22/2015,0,0,1,1,,,,0
2449,Italy,12/22/2015,0,0,1,1,,,,0
2450,United States of America,12/22/2015,0,0,4,4,0,0,1,1
2451,Liberia,12/22/2015,5636,1879,3151,10666,,,,4806
2452,United Kingdom,12/23/2015,0,0,1,1,,,,0
2453,Italy,12/23/2015,0,0,1,1,,,,0
2454,Guinea,12/23/2015,0,453,3351,3804,,453,2083,2536
2455,Senegal,12/23/2015,0,0,1,1,0,0,0,0
2456,Liberia,12/23/2015,5636,1879,3151,10666,,,,4806
2457,Spain,12/23/2015,0,0,1,1,0,0,0,0
2458,Mali,12/23/2015,0,1,7,8,,,,6
2459,Sierra Leone,12/23/2015,5131,287,8704,14122,158,208,3589,3955
2460,Liberia,12/23/2015,,,9,9,,,3,3
2461,Nigeria,12/23/2015,0,1,19,20,0,1,7,8
2462,United States of America,12/23/2015,0,0,4,4,0,0,1,1
2463,United Kingdom,12/29/2015,0,0,1,1,,,,0
2464,Italy,12/29/2015,0,0,1,1,,,,0
2465,Spain,12/29/2015,0,0,1,1,0,0,0,0
2466,Liberia,12/29/2015,5636,1879,3151,10666,,,,4806
2467,Liberia,12/29/2015,,,9,9,,,3,3
2468,Sierra Leone,12/29/2015,5131,287,8704,14122,158,208,3589,3955
2469,Mali,12/29/2015,0,1,7,8,,,,6
2470,Guinea,12/29/2015,0,453,3351,3804,,453,2083,2536
2471,United States of America,12/29/2015,0,0,4,4,0,0,1,1
2472,Nigeria,12/29/2015,0,1,19,20,0,1,7,8
2473,Senegal,12/29/2015,0,0,1,1,0,0,0,0
2474,Guinea,3/23/2016,0,453,3351,3804,,453,2083,2536
2475,Spain,3/23/2016,0,0,1,1,0,0,0,0
2476,Sierra Leone,3/23/2016,5131,287,8704,14122,158,208,3589,3955
2477,Senegal,3/23/2016,0,0,1,1,0,0,0,0
2478,Mali,3/23/2016,0,1,7,8,,,,6
2479,United Kingdom,3/23/2016,0,0,1,1,,,,0
2480,Liberia,3/23/2016,,,9,9,,,3,3
2481,Liberia,3/23/2016,5636,1879,3151,10666,,,,4806
2482,Italy,3/23/2016,0,0,1,1,,,,0
2483,Liberia,3/23/2016,0,3,2,5,,3,1,4
2484,Nigeria,3/23/2016,0,1,19,20,0,1,7,8
2485,United States of America,3/23/2016,0,0,4,4,0,0,1,1
